Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Fault_Code,Fault_Name,Severity,Parts_Availability,Garage_Type,Mechanic_Expertise,Day_of_Week,Time_of_Day,Actual_Repair_Hours,Repair_Cost_LKR,PartsRequired_Names
144,Toyota Corolla,2022,42686,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Low,In Stock,Local,Senior,Weekend,Evening,1.36,6400,"Alternator, Wiring Harness"
145,Honda Fit,2018,157041,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,Order Required,Local,Expert,Weekday,Evening,3.48,17500,"Wiring Harness, Starter Motor"
146,Toyota Prius,2013,158106,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,High,In Stock,Authorized,Expert,Weekday,Morning,7.16,31300,"Battery, Wiring Harness"
147,Suzuki Alto,2010,148285,Brake,ABS Fault,BRA-102,ABS Fault Issue,High,Order Required,Local,Expert,Weekday,Afternoon,6.01,30200,"Brake Pad, Brake Fluid Hose"
148,Toyota Corolla,2018,39080,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,Order Required,Local,Senior,Weekend,Afternoon,1.5,6500,"Timing Belt, Piston Ring"
149,Nissan Sunny,2012,132146,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Low,Order Required,Authorized,Expert,Weekday,Afternoon,2.14,9200,"Starter Motor, Wiring Harness"
150,Honda Fit,2016,71569,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,In Stock,Local,Expert,Weekday,Morning,3.43,13400,"Brake Fluid Hose, Brake Caliper"
151,Toyota Corolla,2017,81325,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Medium,In Stock,Local,Expert,Weekend,Morning,4.29,22800,"Alternator, Fuse"
152,Honda Civic,2015,74280,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Medium,Order Required,Local,Junior,Weekend,Afternoon,4.78,24100,"Brake Caliper, Brake Disc"
153,Suzuki Alto,2015,155897,Engine,Overheating,ENG-450,Overheating Issue,High,In Stock,Authorized,Senior,Weekday,Morning,5.65,30100,"Fuel Injector, Spark Plug"
154,Toyota Corolla,2008,33017,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,Order Required,Local,Senior,Weekend,Afternoon,6.31,24200,"Transmission Fluid Filter, Gearbox Mount"
155,Toyota Prius,2010,25037,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,High,In Stock,Local,Junior,Weekend,Morning,5.88,26000,"Shock Absorber, Strut Mount"
156,Nissan Sunny,2015,152056,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,In Stock,Authorized,Senior,Weekday,Evening,2.57,11700,"Shock Absorber, Strut Mount"
157,Toyota Prius,2009,76974,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,High,Order Required,Local,Junior,Weekday,Morning,6.01,23900,"Fuse, Starter Motor"
158,Toyota Corolla,2013,50379,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Medium,In Stock,Local,Expert,Weekday,Evening,3.47,12200,"Gearbox Mount, Clutch Plate"
159,Honda Civic,2016,155812,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Authorized,Expert,Weekday,Afternoon,2.06,9100,"Brake Fluid Hose, Brake Pad"
160,Nissan Sunny,2011,129780,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Medium,In Stock,Local,Senior,Weekend,Afternoon,3.71,19700,"Fuse, Battery"
161,Honda Fit,2008,166121,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,In Stock,Authorized,Senior,Weekend,Afternoon,4.06,19700,"Brake Pad, Brake Caliper"
162,Toyota Corolla,2018,161065,Engine,Overheating,ENG-450,Overheating Issue,Medium,Order Required,Authorized,Senior,Weekend,Morning,3.87,20600,"Piston Ring, Timing Belt"
163,Nissan Sunny,2022,48321,Engine,Oil Leak,ENG-170,Oil Leak Issue,Low,In Stock,Local,Expert,Weekend,Evening,1.39,5400,"Fuel Injector, Timing Belt"
164,Toyota Prius,2008,177145,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Medium,Order Required,Authorized,Junior,Weekend,Morning,3.55,19300,"Strut Mount, Control Arm"
165,Suzuki WagonR,2008,151294,Engine,Overheating,ENG-450,Overheating Issue,Low,In Stock,Authorized,Senior,Weekday,Morning,2.85,10000,"Engine Oil Filter, Timing Belt"
166,Toyota Corolla,2016,57674,Engine,Misfire,ENG-847,Misfire Issue,High,In Stock,Local,Senior,Weekday,Afternoon,5.75,28700,"Piston Ring, Engine Oil Filter"
167,Honda Civic,2022,148487,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Authorized,Expert,Weekday,Afternoon,1.69,7300,"Transmission Fluid Filter, Clutch Plate"
168,Toyota Prius,2019,98788,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,Order Required,Authorized,Junior,Weekend,Morning,5.83,29700,"Brake Pad, Brake Fluid Hose"
169,Toyota Prius,2014,176883,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,In Stock,Authorized,Senior,Weekend,Morning,4.11,17800,"Brake Pad, Brake Disc"
170,Toyota Prius,2009,135186,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Local,Expert,Weekend,Afternoon,2.18,12600,"Control Arm, Shock Absorber"
171,Suzuki WagonR,2014,143362,Engine,Misfire,ENG-847,Misfire Issue,Medium,In Stock,Local,Senior,Weekend,Morning,4.22,19900,"Piston Ring, Timing Belt"
172,Suzuki Alto,2021,21438,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Medium,Order Required,Authorized,Expert,Weekend,Morning,4.78,21700,"Wiring Harness, Alternator"
173,Honda Fit,2009,98744,Engine,Overheating,ENG-450,Overheating Issue,Medium,In Stock,Local,Senior,Weekend,Morning,3.88,18200,"Piston Ring, Spark Plug"
174,Suzuki Alto,2018,166695,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Authorized,Senior,Weekday,Afternoon,2.89,10800,"Timing Belt, Fuel Injector"
175,Honda Fit,2020,91768,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Medium,In Stock,Local,Junior,Weekend,Morning,3.6,15800,"Transmission Fluid Filter, Clutch Plate"
176,Honda Fit,2016,105951,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Medium,Order Required,Local,Junior,Weekend,Afternoon,3.49,14800,"Starter Motor, Alternator"
177,Honda Civic,2014,86848,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Medium,In Stock,Authorized,Senior,Weekend,Morning,3.92,20700,"Battery, Fuse"
178,Toyota Corolla,2019,110959,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Medium,Order Required,Local,Expert,Weekday,Evening,3.77,18000,"Strut Mount, Control Arm"
179,Toyota Corolla,2020,163765,Engine,Oil Leak,ENG-170,Oil Leak Issue,Low,In Stock,Local,Expert,Weekday,Afternoon,2.01,8500,"Spark Plug, Timing Belt"
180,Toyota Prius,2018,40981,Engine,Oil Leak,ENG-170,Oil Leak Issue,High,In Stock,Local,Junior,Weekday,Evening,5.96,22400,"Spark Plug, Fuel Injector"
181,Suzuki Alto,2020,72959,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Medium,In Stock,Local,Junior,Weekday,Evening,4.92,28900,"Clutch Plate, Gearbox Mount"
182,Toyota Prius,2009,120805,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,In Stock,Authorized,Expert,Weekday,Morning,1.65,9400,"Transmission Fluid Filter, Clutch Plate"
183,Honda Fit,2013,55302,Engine,Overheating,ENG-450,Overheating Issue,High,In Stock,Authorized,Junior,Weekday,Afternoon,6.26,24200,"Fuel Injector, Timing Belt"
184,Toyota Prius,2008,64638,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,In Stock,Local,Senior,Weekday,Afternoon,3.25,19400,"Strut Mount, Ball Joint"
185,Nissan Sunny,2017,126012,Engine,Overheating,ENG-450,Overheating Issue,Low,In Stock,Authorized,Senior,Weekend,Morning,2.18,8100,"Spark Plug, Engine Oil Filter"
186,Honda Fit,2020,133882,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Low,In Stock,Local,Expert,Weekday,Evening,2.17,8400,"Control Arm, Strut Mount"
187,Suzuki WagonR,2008,166344,Engine,Misfire,ENG-847,Misfire Issue,High,In Stock,Local,Junior,Weekend,Evening,7.04,25800,"Piston Ring, Timing Belt"
188,Toyota Corolla,2008,103359,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Medium,Order Required,Local,Expert,Weekend,Afternoon,4.46,22900,"Control Arm, Strut Mount"
189,Suzuki Alto,2012,23168,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,In Stock,Authorized,Expert,Weekday,Afternoon,4.23,22100,"Wiring Harness, Alternator"
190,Honda Civic,2011,151907,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Medium,Order Required,Local,Senior,Weekday,Evening,4.22,21000,"Fuse, Alternator"
191,Toyota Corolla,2012,149733,Engine,Overheating,ENG-450,Overheating Issue,High,Order Required,Authorized,Senior,Weekend,Afternoon,7.33,26300,"Piston Ring, Engine Oil Filter"
192,Honda Fit,2010,40468,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,Order Required,Authorized,Senior,Weekend,Evening,2.38,11500,"Control Arm, Strut Mount"
193,Honda Civic,2021,159790,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Authorized,Expert,Weekend,Afternoon,2.63,10400,"Ball Joint, Strut Mount"
194,Honda Fit,2009,149319,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,High,In Stock,Local,Junior,Weekday,Afternoon,5.76,28700,"Clutch Plate, Gearbox Mount"
195,Suzuki WagonR,2013,65956,Engine,Overheating,ENG-450,Overheating Issue,Medium,Order Required,Local,Junior,Weekend,Morning,3.06,17900,"Piston Ring, Engine Oil Filter"
196,Toyota Corolla,2020,124046,Engine,Misfire,ENG-847,Misfire Issue,High,Order Required,Authorized,Senior,Weekend,Afternoon,6.7,26000,"Fuel Injector, Piston Ring"
197,Suzuki Alto,2018,31686,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,Order Required,Local,Junior,Weekday,Morning,2.3,11200,"Gearbox Mount, Transmission Fluid Filter"
198,Toyota Corolla,2008,179305,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,In Stock,Authorized,Junior,Weekend,Evening,5.79,25800,"Brake Disc, Brake Pad"
199,Nissan Sunny,2014,175655,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,Order Required,Local,Expert,Weekend,Morning,3.07,15200,"Control Arm, Ball Joint"
200,Honda Fit,2012,84637,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Local,Expert,Weekday,Morning,2.53,12200,"Shock Absorber, Ball Joint"
201,Toyota Corolla,2017,152205,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Low,Order Required,Authorized,Junior,Weekday,Afternoon,2.22,12100,"Alternator, Battery"
202,Suzuki WagonR,2011,116489,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,High,Order Required,Authorized,Senior,Weekday,Evening,5.89,24400,"Starter Motor, Wiring Harness"
203,Toyota Corolla,2016,117557,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Expert,Weekend,Morning,2.09,11600,"Clutch Plate, Transmission Fluid Filter"
204,Toyota Corolla,2009,103896,Engine,Misfire,ENG-847,Misfire Issue,Low,In Stock,Local,Senior,Weekday,Morning,1.98,10900,"Fuel Injector, Engine Oil Filter"
205,Honda Civic,2009,121369,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,Order Required,Local,Junior,Weekday,Afternoon,1.96,8200,"Shock Absorber, Control Arm"
206,Nissan Sunny,2010,35559,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,Order Required,Local,Senior,Weekday,Afternoon,4.21,22800,"Strut Mount, Control Arm"
207,Nissan Sunny,2015,53778,Engine,Misfire,ENG-847,Misfire Issue,High,Order Required,Local,Senior,Weekend,Afternoon,5.58,27000,"Spark Plug, Timing Belt"
208,Suzuki Alto,2015,134954,Engine,Oil Leak,ENG-170,Oil Leak Issue,Low,In Stock,Local,Expert,Weekend,Afternoon,2.31,10200,"Timing Belt, Piston Ring"
209,Suzuki WagonR,2010,167455,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Low,Order Required,Authorized,Senior,Weekend,Evening,2.63,15300,"Clutch Plate, Transmission Fluid Filter"
210,Suzuki Alto,2008,154634,Engine,Oil Leak,ENG-170,Oil Leak Issue,Medium,In Stock,Authorized,Senior,Weekend,Evening,3.04,14700,"Fuel Injector, Piston Ring"
211,Toyota Prius,2011,174969,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,High,In Stock,Authorized,Expert,Weekday,Afternoon,6.06,23700,"Brake Pad, Brake Fluid Hose"
212,Honda Civic,2019,24730,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Medium,Order Required,Local,Expert,Weekday,Morning,3.26,18400,"Transmission Fluid Filter, Gearbox Mount"
213,Honda Fit,2022,51457,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Medium,In Stock,Local,Senior,Weekend,Morning,4.9,27700,"Battery, Alternator"
214,Toyota Prius,2015,132862,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Authorized,Senior,Weekend,Morning,2.01,10300,"Brake Caliper, Brake Pad"
215,Nissan Sunny,2009,89881,Engine,Overheating,ENG-450,Overheating Issue,Low,In Stock,Local,Expert,Weekend,Afternoon,2.74,9800,"Piston Ring, Timing Belt"
216,Honda Civic,2017,137036,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,High,In Stock,Local,Expert,Weekend,Afternoon,7.13,33400,"Wiring Harness, Alternator"
217,Suzuki Alto,2018,73249,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,Order Required,Authorized,Junior,Weekend,Morning,7.18,36400,"Transmission Fluid Filter, Gearbox Mount"
218,Suzuki Alto,2009,66805,Brake,ABS Fault,BRA-102,ABS Fault Issue,Medium,Order Required,Local,Senior,Weekend,Morning,4.83,18800,"Brake Caliper, Brake Fluid Hose"
219,Toyota Corolla,2012,60043,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Medium,In Stock,Local,Expert,Weekday,Afternoon,4.11,19700,"Transmission Fluid Filter, Clutch Plate"
220,Suzuki Alto,2021,92588,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Authorized,Senior,Weekend,Morning,1.57,7100,"Timing Belt, Piston Ring"
221,Toyota Corolla,2016,115384,Engine,Oil Leak,ENG-170,Oil Leak Issue,High,In Stock,Local,Expert,Weekend,Evening,7.16,34700,"Engine Oil Filter, Timing Belt"
222,Honda Civic,2022,34795,Engine,Oil Leak,ENG-170,Oil Leak Issue,Low,Order Required,Authorized,Senior,Weekend,Afternoon,2.91,11200,"Engine Oil Filter, Spark Plug"
223,Honda Civic,2014,113704,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,Order Required,Local,Junior,Weekend,Evening,4.29,15900,"Brake Disc, Brake Caliper"
224,Suzuki Alto,2012,84079,Engine,Oil Leak,ENG-170,Oil Leak Issue,High,In Stock,Local,Senior,Weekend,Afternoon,7.43,38000,"Fuel Injector, Piston Ring"
225,Toyota Corolla,2011,61593,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,In Stock,Authorized,Expert,Weekday,Evening,5.97,27100,"Gearbox Mount, Clutch Plate"
226,Honda Fit,2013,148382,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,High,In Stock,Local,Senior,Weekday,Afternoon,6.88,24100,"Shock Absorber, Ball Joint"
227,Nissan Sunny,2013,163696,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,High,Order Required,Local,Junior,Weekday,Evening,6.52,37700,"Starter Motor, Alternator"
228,Suzuki WagonR,2020,53554,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Authorized,Expert,Weekend,Afternoon,2.53,10700,"Brake Caliper, Brake Pad"
229,Suzuki Alto,2022,133720,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,In Stock,Local,Senior,Weekday,Morning,4.32,15800,"Battery, Alternator"
230,Suzuki WagonR,2018,27629,Electrical,Battery Drain,ELE-926,Battery Drain Issue,High,Order Required,Local,Expert,Weekend,Evening,7.17,27800,"Wiring Harness, Battery"
231,Suzuki Alto,2014,146837,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Low,In Stock,Authorized,Junior,Weekend,Morning,2.41,8700,"Brake Pad, Brake Caliper"
232,Honda Civic,2018,88239,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,Order Required,Authorized,Junior,Weekend,Afternoon,5.62,29600,"Fuel Injector, Timing Belt"
233,Honda Civic,2009,31839,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Low,Order Required,Local,Junior,Weekend,Morning,2.28,11700,"Shock Absorber, Ball Joint"
234,Suzuki WagonR,2009,138421,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,In Stock,Local,Senior,Weekend,Evening,4.63,21200,"Ball Joint, Strut Mount"
235,Suzuki WagonR,2010,128151,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Low,In Stock,Local,Senior,Weekend,Morning,2.93,12600,"Battery, Alternator"
236,Honda Fit,2021,120087,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Medium,In Stock,Local,Expert,Weekday,Evening,4.69,20900,"Brake Disc, Brake Caliper"
237,Suzuki WagonR,2021,22948,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Low,Order Required,Local,Senior,Weekday,Evening,2.18,10300,"Fuse, Alternator"
238,Toyota Corolla,2012,88165,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Medium,In Stock,Authorized,Senior,Weekday,Evening,3.4,14600,"Brake Caliper, Brake Pad"
239,Toyota Corolla,2022,160001,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Low,Order Required,Local,Expert,Weekend,Evening,2.86,11900,"Starter Motor, Wiring Harness"
240,Honda Fit,2021,159917,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Low,Order Required,Local,Junior,Weekday,Afternoon,2.5,11900,"Starter Motor, Battery"
241,Suzuki WagonR,2009,105498,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,High,Order Required,Local,Junior,Weekday,Morning,5.56,23200,"Ball Joint, Strut Mount"
242,Suzuki Alto,2016,89143,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,Order Required,Local,Expert,Weekday,Afternoon,6.36,23600,"Transmission Fluid Filter, Gearbox Mount"
243,Honda Fit,2008,168279,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,Order Required,Authorized,Senior,Weekend,Afternoon,1.11,4400,"Gearbox Mount, Clutch Plate"
244,Suzuki Alto,2010,44665,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Local,Senior,Weekday,Morning,1.42,8000,"Shock Absorber, Strut Mount"
245,Nissan Sunny,2015,22727,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,In Stock,Authorized,Senior,Weekend,Morning,2.26,12800,"Brake Caliper, Brake Disc"
246,Suzuki WagonR,2009,43941,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,Order Required,Local,Junior,Weekday,Morning,7.17,25200,"Clutch Plate, Gearbox Mount"
247,Toyota Corolla,2010,46432,Engine,Oil Leak,ENG-170,Oil Leak Issue,Medium,Order Required,Authorized,Junior,Weekend,Morning,4.83,24100,"Timing Belt, Spark Plug"
248,Toyota Prius,2008,94104,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,Order Required,Local,Junior,Weekday,Evening,2.03,11100,"Clutch Plate, Gearbox Mount"
249,Honda Civic,2016,162606,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Junior,Weekday,Afternoon,2.59,12500,"Transmission Fluid Filter, Clutch Plate"
250,Toyota Corolla,2016,166189,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,In Stock,Authorized,Expert,Weekday,Evening,6.6,27200,"Gearbox Mount, Transmission Fluid Filter"
251,Honda Civic,2009,139506,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Authorized,Expert,Weekend,Afternoon,1.61,7700,"Engine Oil Filter, Spark Plug"
252,Toyota Corolla,2019,134927,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,Order Required,Local,Expert,Weekday,Afternoon,1.57,7100,"Transmission Fluid Filter, Clutch Plate"
253,Toyota Corolla,2010,45267,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Low,Order Required,Authorized,Junior,Weekend,Morning,1.8,9700,"Transmission Fluid Filter, Gearbox Mount"
254,Honda Fit,2016,46171,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,In Stock,Local,Junior,Weekend,Afternoon,6.48,30800,"Clutch Plate, Transmission Fluid Filter"
255,Suzuki WagonR,2014,99101,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,Order Required,Local,Expert,Weekday,Evening,1.62,8400,"Transmission Fluid Filter, Clutch Plate"
256,Honda Fit,2016,28381,Brake,ABS Fault,BRA-102,ABS Fault Issue,High,In Stock,Local,Expert,Weekend,Evening,6.91,40900,"Brake Fluid Hose, Brake Pad"
257,Honda Fit,2009,175337,Brake,ABS Fault,BRA-102,ABS Fault Issue,Medium,Order Required,Local,Expert,Weekend,Morning,3.86,22100,"Brake Disc, Brake Pad"
258,Honda Fit,2013,99510,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Authorized,Junior,Weekend,Evening,1.42,6800,"Brake Disc, Brake Caliper"
259,Toyota Prius,2017,152850,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,High,Order Required,Authorized,Expert,Weekend,Morning,6.91,25600,"Fuse, Battery"
260,Toyota Corolla,2017,157283,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,Order Required,Local,Expert,Weekday,Evening,6.89,36300,"Piston Ring, Timing Belt"
261,Toyota Corolla,2014,34196,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Medium,In Stock,Local,Senior,Weekend,Morning,4.75,19700,"Fuse, Starter Motor"
262,Nissan Sunny,2022,64557,Brake,ABS Fault,BRA-102,ABS Fault Issue,Medium,In Stock,Local,Junior,Weekend,Morning,3.92,22200,"Brake Fluid Hose, Brake Pad"
263,Toyota Prius,2015,107034,Engine,Oil Leak,ENG-170,Oil Leak Issue,Medium,In Stock,Authorized,Junior,Weekend,Evening,4.53,26500,"Fuel Injector, Timing Belt"
264,Honda Civic,2013,102344,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,In Stock,Authorized,Senior,Weekday,Morning,2.23,13200,"Control Arm, Strut Mount"
265,Suzuki WagonR,2013,122517,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,In Stock,Local,Senior,Weekend,Morning,7.43,42600,"Transmission Fluid Filter, Clutch Plate"
266,Toyota Corolla,2012,44511,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,In Stock,Local,Junior,Weekday,Morning,3.32,15200,"Control Arm, Ball Joint"
267,Toyota Corolla,2019,68355,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Low,Order Required,Authorized,Senior,Weekday,Evening,2.59,13400,"Clutch Plate, Gearbox Mount"
268,Toyota Corolla,2020,139728,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,Order Required,Local,Senior,Weekend,Afternoon,6.84,30200,"Brake Fluid Hose, Brake Pad"
269,Nissan Sunny,2013,110955,Electrical,Battery Drain,ELE-926,Battery Drain Issue,High,Order Required,Local,Expert,Weekday,Afternoon,6.62,30500,"Starter Motor, Alternator"
270,Suzuki Alto,2022,82546,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,In Stock,Local,Expert,Weekday,Morning,7.12,26000,"Gearbox Mount, Clutch Plate"
271,Toyota Prius,2021,81982,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,High,Order Required,Authorized,Junior,Weekday,Afternoon,5.57,28200,"Fuse, Alternator"
272,Nissan Sunny,2014,62984,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,In Stock,Local,Senior,Weekend,Evening,7.47,44400,"Engine Oil Filter, Timing Belt"
273,Honda Fit,2022,30753,Electrical,Battery Drain,ELE-926,Battery Drain Issue,High,Order Required,Authorized,Expert,Weekday,Evening,5.67,27700,"Battery, Alternator"
274,Nissan Sunny,2020,32887,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Low,In Stock,Local,Junior,Weekend,Morning,2.58,15200,"Battery, Wiring Harness"
275,Suzuki Alto,2010,155293,Engine,Misfire,ENG-847,Misfire Issue,High,In Stock,Local,Expert,Weekend,Afternoon,6.07,28600,"Fuel Injector, Timing Belt"
276,Toyota Corolla,2011,68106,Engine,Overheating,ENG-450,Overheating Issue,Low,In Stock,Local,Senior,Weekend,Evening,2.99,14100,"Spark Plug, Engine Oil Filter"
277,Nissan Sunny,2020,117808,Brake,ABS Fault,BRA-102,ABS Fault Issue,Medium,In Stock,Local,Expert,Weekend,Morning,3.06,12100,"Brake Caliper, Brake Pad"
278,Toyota Corolla,2012,168814,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,High,Order Required,Authorized,Expert,Weekend,Morning,7.31,37800,"Shock Absorber, Strut Mount"
279,Honda Fit,2012,93399,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Authorized,Senior,Weekday,Afternoon,2.51,12000,"Engine Oil Filter, Piston Ring"
280,Toyota Prius,2020,50309,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Low,Order Required,Local,Junior,Weekend,Afternoon,1.9,7700,"Gearbox Mount, Clutch Plate"
281,Honda Civic,2016,140605,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,Order Required,Authorized,Senior,Weekday,Afternoon,7.47,26600,"Timing Belt, Fuel Injector"
282,Toyota Corolla,2010,75892,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Medium,In Stock,Authorized,Junior,Weekday,Evening,4.83,29000,"Brake Pad, Brake Fluid Hose"
283,Suzuki WagonR,2016,20983,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,In Stock,Authorized,Senior,Weekend,Evening,2.36,11200,"Brake Caliper, Brake Fluid Hose"
284,Toyota Corolla,2022,140337,Engine,Timing Issue,ENG-522,Timing Issue Issue,Medium,In Stock,Authorized,Junior,Weekend,Evening,3.32,12900,"Timing Belt, Engine Oil Filter"
285,Toyota Prius,2021,131660,Engine,Overheating,ENG-450,Overheating Issue,High,In Stock,Authorized,Senior,Weekend,Afternoon,6.28,31900,"Spark Plug, Fuel Injector"
286,Honda Fit,2021,27454,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Medium,In Stock,Authorized,Senior,Weekday,Morning,4.85,24900,"Brake Fluid Hose, Brake Disc"
287,Toyota Corolla,2021,83131,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Medium,Order Required,Local,Expert,Weekend,Evening,3.38,15300,"Brake Fluid Hose, Brake Disc"
